country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,,,,,3.991,4.104,,2.322,4.749,2.639,CAN
Sao Tome and Principe,,,,,,,,,,0.0256,STP
Turkmenistan,,,,,,23.29,24.04,26.36,,,TKM
United States of America,100.1,106.5,117.1,,194.7,,196.5,191.9,175.1,176.2,USA
United Republic of Tanzania,,,,,,1.04,4.632,,,,TZA
Lithuania,,,,,,0.008,0.053,0.0818,0.0793,0.0589,LTU
Cambodia,,,,,,,,2.053,,,KHM
Ethiopia,,,,,,,5.204,7,,9.687,ETH
Palestine,,,,,,,0.167,0.189,,0.162,PSE
Argentina,,,,,,21.52,21.52,,27.93,,ARG
Cameroon,,,,0.14,0.14,,0.737,,,,CMR
Burkina Faso,,,,0.23,0.303,,0.4207,0.4207,,,BFA
Ghana,0.156,,,,,,0.652,,,1.07,GHA
Saudi Arabia,,,,,15.31,,,20.83,17.51,19.2,SAU
Japan,,,58,,58.6,58.88,56.05,54.5,54.43,,JPN
Slovenia,,,,,0.0037,0.0048,0.0066,0.0046,0.0023,0.0039,SVN
Guatemala,,,,,,,1.472,1.886,,,GTM
Kuwait,,,,,,0.324,0.4919,,,0.7784,KWT
Russian Federation,,,,,,15.3,13.2,,,18.66,RUS
Jordan,,0.293,0.377,0.461,0.737,,0.517,0.589,0.462,0.5547,JOR
Dominica,,,,,,,,,0.001,,DMA
Liberia,,,,0.078,,,0.0123,,,,LBR
Maldives,,,,0,,,,,0,,MDV
Jamaica,,,,,,0.696,,0.448,,0.114,JAM
Oman,,,,,1.148,,1.23,1.168,,1.607,OMN
North Macedonia,,,,,,1.066,0.2814,0.1255,1.353,0.139,MKD
Cabo Verde,,,,,0.022,,0.02,0.025,,,CPV
Seychelles,,,,,0.0009,,,0.0009,,,SYC
Gabon,,,,0.0036,,,0.0403,0.0403,,,GAB
Monaco,,,,,0,0,0,0,0,,MCO
New Zealand,,,,0.836,,,,2.82,3.207,,NZL
Yemen,,,,,2.7,,3.06,3.235,,,YEM
Albania,,,,,1,0.67,1.06,0.5176,,0.905,ALB
United Arab Emirates,,,0.72,,,1.408,2.279,3.312,,,ARE
India,,353.4,411.7,468,460,,558.4,,688,,IND
Azerbaijan,,,,,10.93,9.254,6.376,8.581,8.887,9.27,AZE
Lesotho,,,,0.028,,,0.0038,,,,LSO
Saint Vincent and the Grenadines,,,,,0.0101,,,,,0,VCT
Kenya,,,,,1.566,,1.01,1.75,1.907,3.234,KEN
Tajikistan,,,,,,10.96,10.96,10.44,,,TJK
Turkey,,,,,22.9,,31.5,29.6,43.78,50.05,TUR
Afghanistan,,,,25.85,,,20,,,,AFG
Bangladesh,,,,,,,,,31.5,,BGD
Mauritania,,,0.613,1.5,,,1.5,1.223,,,MRT
Iran (Islamic Republic of),,,,,,76,83.75,86,,,IRN
Viet Nam,,,35.04,40.65,47,,,77.75,,,VNM
Saint Lucia,,,,,,,,0.0304,,,LCA
Mongolia,,,,,,0.227,,0.224,0.242,0.2509,MNG
France,,,,,4.919,3.35,4.291,3.933,2.913,3.113,FRA
Syrian Arab Republic,,,,,,12.84,14.41,14.67,,,SYR
Rwanda,,,,,,,0.102,,,,RWA
Slovakia,,,,,0,0.067,0.056,0.0225,0.0307,0.0316,SVK
Somalia,,,,0.786,,,3.28,3.281,,,SOM
Peru,,,,,,,,,12.12,13.1,PER
Norway,,,,,,0.73,0.808,0.8449,,,NOR
Malawi,,,,,,0.809,1.166,1.166,,,MWI
Benin,,,,0.064,0.0823,0.097,0.059,,,,BEN
Cuba,,,,,,2.666,,2.476,3.569,4.519,CUB
Montenegro,,,,,,,,0.0066,0.0017,,MNE
Saint Kitts and Nevis,,,,,,0.0002,,,0.0002,,KNA
Togo,,,,0.023,,,0.076,,,,TGO
China,,,391.2,415.2,415,407.7,378.4,360,388,385.2,CHN
