country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,,,,,8.851,9.723,,5.62,12.24,7.413,CAN
Sao Tome and Principe,,,,,,,,,,62.59,STP
Turkmenistan,,,,,,97.94,96.51,94.31,,,TKM
United States of America,,,22.62,,34.81,,35.13,34.12,36.06,39.66,USA
United Republic of Tanzania,,,,,,,89.35,,,,TZA
Lithuania,,,,,,0.1838,1.915,3.605,,22.74,LTU
Cambodia,,,,,,,,94,,,KHM
Ethiopia,,,,,,,93.63,89.05,,91.82,ETH
Palestine,,,,,,,59.86,45.22,,43.18,PSE
Argentina,,,,,,75.3,,,73.93,,ARG
Cameroon,,,,35.35,35,,76.26,,,,CMR
Burkina Faso,,,,79.31,80.59,,58.78,51.43,,,BFA
Ghana,52,,,,,,66.4,,,,GHA
Saudi Arabia,,,,,89.95,,,88,83.86,82.23,SAU
Japan,,,65.76,,64.11,65.99,66.21,65.68,66.83,,JPN
Slovenia,,,,,,,0.734,0.492,0.2478,0.4187,SVN
Guatemala,,,,,,,,56.74,,,GTM
Kuwait,,,,,,60.22,53.87,,,,KWT
Russian Federation,,,,,,19.84,19.94,,,28.97,RUS
Jordan,,64.97,70.47,74.47,74.9,,64.38,63.2,54.42,53.13,JOR
Dominica,,,,,,,,,5,,DMA
Liberia,,,,60,,,9.404,,,,LBR
Maldives,,,,0,,,,,0,,MDV
Jamaica,,,,,,75,,55.17,,8.419,JAM
Oman,,,,,93.87,,90.44,88.42,,85.84,OMN
North Macedonia,,,,,,68.55,44.44,22.77,,26.55,MKD
Cabo Verde,,,,,,,90.91,,,,CPV
Seychelles,,,,,7.563,,,6.569,,,SYC
Gabon,,,,6,,,33.5,28.97,,,GAB
Monaco,,,,,0,0,0,0,0,,MCO
New Zealand,,,,44,,,,57.46,61.66,,NZL
Yemen,,,,,92.09,,90,90.74,,,YEM
Albania,,,,,83.33,,57.67,39.48,,,ALB
United Arab Emirates,,,80,,,66.79,78.48,82.84,,,ARE
India,,93,93.93,94.09,92,,91.48,,90.41,,IND
Azerbaijan,,,,,67.47,73.97,63.32,69.93,74.24,72.54,AZE
Lesotho,,,,56,,,8.676,,,,LSO
Saint Vincent and the Grenadines,,,,,,,,,,0,VCT
