country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,,,,,1.031,1.871,,,,,CAN
Turkmenistan,,,,,,,,0.305,,,TKM
United States of America,,,115,,109.5,,115,109.7,104.9,,USA
Lithuania,,,,,,0.205,,0.1754,0.1746,0.1404,LTU
Palestine,,,,,,,,,,0.2645,PSE
Argentina,,,,,,,,,11.33,,ARG
Burkina Faso,,,,,,,0.011,,,,BFA
Saudi Arabia,,,,,,,,21.54,,21.01,SAU
Japan,,,,,,12.19,10.64,10.33,9.372,,JPN
Slovenia,,,,,,,0.2079,0.1905,0.1796,0.19,SVN
Bosnia and Herzegovina,,,,,,,0.3164,0.3274,0.3045,0.2937,BIH
Kuwait,,,,,,,0.415,,,0.7701,KWT
Russian Federation,,,,,,,,,,10.72,RUS
Jordan,,,,,,,,0.5533,0.5169,0.6148,JOR
Dominica,,,,,,,,0,0,,DMA
Jamaica,,,,,,0.8535,,,,0.14,JAM
Oman,,,,,,,,1.186,,1.532,OMN
North Macedonia,,,,,,,0.048,0.1163,0.1621,,MKD
Seychelles,,,,,0.0003,,,,,,SYC
New Zealand,,,,,,,0.93,1.396,1.674,2.564,NZL
Yemen,,,,,,,2.397,,,,YEM
Albania,,,,,,,,,,0.107,ALB
United Arab Emirates,,,,,,,,2.8,,2.562,ARE
India,,,,,,,,230.4,251,,IND
Azerbaijan,,,,,,1.098,0.545,0.707,,,AZE
Saint Vincent and the Grenadines,,,,,,,,0,,0,VCT
Kenya,,,,,,,,,,0.525,KEN
Tajikistan,,,,,,2.26,,,,0.5338,TJK
Turkey,,,,,,,10.5,11.61,13.56,15.46,TUR
Afghanistan,,,,,,,3.042,,,,AFG
Bangladesh,,,,,,,,,28.48,,BGD
Iran (Islamic Republic of),,,,,,,,53.1,,,IRN
Viet Nam,,,,,,,,1.402,,,VNM
Mongolia,,,,,,,,0.443,,,MNG
France,,,5.704,6.173,6.019,6.101,6.234,5.662,,5.506,FRA
Slovakia,,,,,,0.498,0.4104,0.3584,0.3389,0.3122,SVK
Somalia,,,,,,,,0.131,,,SOM
Peru,,,,,,,,,1.765,,PER
Benin,,,,,,,0.041,,,,BEN
Cuba,,,,,,,,,,2.644,CUB
Saint Kitts and Nevis,,,,,,,,,0.0076,,KNA
China,,,62,,,87,106.9,106.9,113.4,106.9,CHN
Armenia,,,,,,0.52,0.575,0.858,1.314,1.15,ARM
Republic of Korea,,,,,1.47,3.24,3.468,3.717,,,KOR
Dominican Republic,,,,,,0.386,,,,,DOM
Ukraine,,,,,,,,,2.97,1.178,UKR
Bahrain,,,,,,,,0.2387,,0.1551,BHR
Finland,0.115,0.165,0.19,0.32,0.24,0.288,0.2847,0.264,,,FIN
Libya,,,,,,,4.308,,5.55,,LBY
Indonesia,,,,,,,17.61,,,,IDN
Mauritius,,,,,,,,0.112,0.122,0.142,MUS
Belarus,,,,,,,1.082,1.012,0.854,0.811,BLR
Mali,,,,,,,,0.061,,,MLI
Sweden,0.548,0.598,0.595,0.622,0.627,0.654,0.628,0.346,0.348,0.365,SWE
Bulgaria,,,,,,,0.6597,0.6418,0.5656,0.5818,BGR
Romania,,,,,,,,0.644,0.598,0.647,ROU
South Africa,,,,,,,1,,1.77,2.62,ZAF
Cyprus,,,,,,,0.145,0.145,0.155,0.155,CYP
Brunei Darussalam,,,,,,0.0005,,,,,BRN
Qatar,,,,,,,,0.217,,0.2508,QAT
Malaysia,,,,,,0.165,,,,0.0897,MYS
Austria,,,1.135,1.384,1.246,1.148,1.115,,,,AUT
Hungary,0.7964,0.8158,1.254,,1.118,0.8766,0.73,,0.535,0.583,HUN
Niger,,,,,0.46,,,,,,NER
Brazil,,,,,,,,,,6.305,BRA
Guinea,,,,0.074,,,,,,,GIN
Republic of Moldova,,,,,,,0.132,0.136,0.129,0.127,MDA
Costa Rica,,,,,,,,,0.313,0.409,CRI
Luxembourg,0.0115,,,0.045,,0.029,0.0316,,0.0209,0.0229,LUX
Ireland,,,0.125,,,0.225,,0.213,0.196,,IRL
Pakistan,,,,,,,,,59.58,61.67,PAK
Australia,,,,,,,4.962,,,,AUS
Algeria,,,,,,,,,3,8.103,DZA
El Salvador,,,,,,,,0.635,,,SLV
Czechia,,,,,,0.5865,0.5401,0.3806,0.3794,0.3694,Czechia
Chile,,,,,,,,2.778,,,CHL
Puerto Rico,,,,,0.2181,,0.1892,0.203,0.1727,0.142,PRI
Belgium,,,,,,,0.6627,0.6476,0.6361,0.6319,BEL
Georgia,,,,,,,,0.616,,,GEO
Philippines,,,,,,,,2.83,3.206,4.739,PHL
Morocco,,,,,,,3.166,,2.322,,MAR
Croatia,,,,,,,,,0.4499,0.4246,HRV
Guinea-Bissau,,,,,,0.031,0.031,,,,GNB
Thailand,,,,,,,,9.827,,,THA
Switzerland,,0.95,0.922,0.953,0.98,0.8801,,,1.005,,CHE
Grenada,,,,,,,,0,,0.001,GRD
Portugal,,,,,,,,4.794,,,PRT
Estonia,,,,,0.409,,0.2364,0.2479,0.2735,0.2469,EST
Uruguay,,,,,,,0.14,,,,URY
Mexico,,,16.63,,,,25.6,28.79,31.78,34.39,MEX
Lebanon,,,,,,,,0.7,,,LBN
Uzbekistan,,,,,,,,5,,0.494,UZB
Tunisia,,,,,,,1.881,,2.066,,TUN
Djibouti,,,,,,,0.018,,,,DJI
Antigua and Barbuda,,,,,,,,,0.0007,,ATG
Spain,,4.94,5.12,,5.5,4.25,5.897,6.496,6.496,6.394,ESP
Colombia,,,,,,,,,1.073,,COL
Madagascar,,,,,,,0.024,,,,MDG
Bhutan,,,,,,,,,0,,BTN
Serbia,,,,,,,,0.5318,0.507,0.46,SRB
Malta,,,,0.0269,,,,,0.0375,0.0403,MLT
Netherlands,,,1.008,1.107,1.18,1.153,0.9765,0.9956,0.9403,0.9834,NLD
Suriname,,,,,,,,0.0493,,,SUR
United Kingdom,,,2.49,2.521,2.709,2.634,,,2.046,2.039,GBR
Israel,,,,,,0.982,,,0.836,0.84,ISR
Iceland,,,0.103,0.104,0.16,,0.16,0.16,0.2842,0.25,ISL
Zambia,,,,,0.067,,,,,,ZMB
