country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,,,,,44.06,40.34,,,,,CAN
Turkmenistan,,,,,,,,27.56,,,TKM
United States of America,,,402.6,,355.6,,358.6,368.9,313.9,,USA
Lithuania,,,,,,,,2.089,0.4518,0.1186,LTU
Palestine,,,,,,,,,,0.0235,PSE
Argentina,,,,,,,,,26.36,,ARG
Saudi Arabia,,,,,,,,1.1,0.205,0.19,SAU
Japan,,,,,,77,73.81,72.42,71.85,,JPN
Slovenia,,,,,,,0.6913,0.7449,0.7484,0.7414,SVN
Bosnia and Herzegovina,,,,,,,0.0591,0.0622,0.1332,0.1072,BIH
Kuwait,,,,,,,0,,,,KWT
Russian Federation,,,,,,,,,,53.69,RUS
Jordan,,,,,,,,0.3129,0.2791,0.2888,JOR
Dominica,,,,,,,,0.0166,0.02,,DMA
Jamaica,,,,,,0.074,,,,1.21,JAM
Oman,,,,,,,,0,,0.102,OMN
North Macedonia,,,,,,,0.5852,0.4349,0.885,,MKD
Seychelles,,,,,0.0116,,,,,,SYC
New Zealand,,,,,,,2.21,3.512,3.527,7.311,NZL
Yemen,,,,,,,0.987,,,,YEM
Albania,,,,,,,,,,1.081,ALB
United Arab Emirates,,,,,,,,0,,0,ARE
India,,,,,,,,,396.5,,IND
Azerbaijan,,,,,,11.42,9.53,10.79,,,AZE
Saint Vincent and the Grenadines,,,,,,,,0.0095,,0.0079,VCT
Kenya,,,,,,,,,,3.507,KEN
Tajikistan,,,,,,9.26,,,,9.886,TJK
Turkey,,,,,,,31.5,,36.95,44.55,TUR
Afghanistan,,,,,,,17.24,,,,AFG
Bangladesh,,,,,,,,,7.39,,BGD
Iran (Islamic Republic of),,,,,,,,39.85,,,IRN
Viet Nam,,,,,,,,80.46,,,VNM
Mongolia,,,,,,,,0.097,,,MNG
France,,,25.26,28.71,33.2,24.23,26.12,25.33,,20.93,FRA
Slovakia,,,,,,0.812,0.684,0.3295,0.3264,0.2441,SVK
Somalia,,,,,,,,3.167,,,SOM
Peru,,,,,,,,,11.8,,PER
Benin,,,,,,,0.089,,,,BEN
Cuba,,,,,,,,,,4.314,CUB
