country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,,,,,36,32.91,31.57,33.12,,28.07,CAN
Sao Tome and Principe,,,,,,,,,,0.0006,STP
Turkmenistan,,,,,,0.139,0.2701,0.839,,,TKM
United States of America,,,,,303.9,,298.8,305.1,248.4,209.7,USA
United Republic of Tanzania,0.024,,,,,,0.025,,,,TZA
Lithuania,,,,,,4.139,2.543,,0,0.0697,LTU
Cambodia,,,,0.0052,,,,0.033,,,KHM
Ethiopia,,,,,,,0.021,0.0511,,,ETH
Palestine,,,,,,,0.0146,0.029,,0.032,PSE
Argentina,,,,,,2.5,3.975,,4,,ARG
Cameroon,,,,0.076,0.076,,0.0683,0.1046,,,CMR
Burkina Faso,,,,0,0,0.003,0.0161,0.0217,,,BFA
Ghana,0.039,,,,,,0.095,,,,GHA
Saudi Arabia,,,,,0.193,,0.2897,0.71,0.843,1,SAU
Japan,,,16.5,,15.8,14.01,12.32,12.78,11.61,,JPN
Slovenia,,,,,,,0.7055,0.7629,0.7641,0.758,SVN
Guatemala,,,,,0.197,,,0.6031,,,GTM
Bosnia and Herzegovina,,,,,,,0.0199,0.0392,0.0721,0.0718,BIH
Kuwait,,,,,,0.013,0.0208,0.0233,,,KWT
Russian Federation,,,,,,47.5,39.6,,,28.04,RUS
Jordan,,0.027,0.025,0.023,0.033,,0.037,0.049,0.033,0.0325,JOR
Dominica,,,,,,,,,0,,DMA
Liberia,,,,0.0169,,,0.0474,0.0534,,,LBR
Maldives,,,,0.0001,,,0.0002,,0.0003,,MDV
Jamaica,,,,,,0.065,,0.076,,1.1,JAM
Oman,,,,,0.019,,0.03,0.019,,0.135,OMN
North Macedonia,,,,,,0.274,0.1397,0.1993,,0.107,MKD
Cabo Verde,,,,,,,0.0004,,,,CPV
Seychelles,,,,,0.0011,,0.0012,0.0038,,,SYC
Gabon,,,,0.0132,,,0.0114,0.0141,,,GAB
Monaco,,,,,0,0,0,0,0,,MCO
New Zealand,,,,0.19,,,0.2,0.939,1.184,,NZL
