country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,,,,,3.193,3.846,,,4.749,2.054,CAN
Sao Tome and Principe,,,,,,,,,,0.0224,STP
Turkmenistan,,,,,,,,26.25,,,TKM
United States of America,,,,,188.5,,189.1,176.8,159.3,163,USA
United Republic of Tanzania,,,,,,,4.425,,,,TZA
Lithuania,,,,,,,,0.0019,0.0009,0.0005,LTU
Cambodia,,,,,,,,1.928,,,KHM
Ethiopia,,,,,,,,,,9,ETH
Cameroon,,,,,,,0.737,,,,CMR
Burkina Faso,,,,,,,0.4207,,,,BFA
Japan,,,,,,58.53,55.6,54.05,53.99,,JPN
Slovenia,,,,,0.0037,0.0048,0.0066,0.0046,0.0023,0.0033,SVN
Kuwait,,,,,,,,,,0.7768,KWT
Russian Federation,,,,,,,,,,12.46,RUS
Jordan,,,,,,,,,,0.547,JOR
Liberia,,,,,,,0.0123,,,,LBR
Maldives,,,,,,,,,0,,MDV
Jamaica,,,,,,,,0.448,,0.11,JAM
Oman,,,,,,,,,,1.607,OMN
North Macedonia,,,,,,,0.2814,0.1255,1.353,0.139,MKD
Cabo Verde,,,,,,,,0.025,,,CPV
Gabon,,,,,,,0.0403,0.0403,,,GAB
New Zealand,,,,,,,1.6,2.53,2.8,,NZL
Albania,,,,,,,,0.5176,,0.815,ALB
United Arab Emirates,,,,,,,,,,2.278,ARE
Lesotho,,,,,,,0.0038,,,,LSO
Saint Vincent and the Grenadines,,,,,0.0101,,,,,,VCT
Kenya,,,,,,,,,1.602,0.459,KEN
Turkey,,,,,,,,,,42.21,TUR
Mauritania,,,,,,,,1.223,,,MRT
Mongolia,,,,,,,,0.094,0.129,0.1261,MNG
France,,,,,4.919,,4.291,3.933,2.588,,FRA
Slovakia,,,,,,,0.0436,0.014,0.0211,0.0224,SVK
Norway,,,,,,0.1886,0.1131,0.1128,,,NOR
Malawi,,,,,,,1.166,1.166,,,MWI
Benin,,,,,,,0.045,,,,BEN
Saint Kitts and Nevis,,,,,,0.0002,,,,,KNA
Togo,,,,,,,0.046,,,,TGO
Armenia,,,,,,,,,1.496,1.612,ARM
Republic of Korea,,,,,14.1,15.29,16.1,14.49,,,KOR
Dominican Republic,,,,,,,4,3.949,4.879,6.43,DOM
Bolivia (Plurinational State of),,,,,,,1.777,,,,BOL
Ukraine,,,,,,,,,,2.529,UKR
Finland,,,,,0.02,0.04,0.04,0.04,,,FIN
Indonesia,,,,,,,,,,177.1,IDN
Central African Republic,,,,0.0004,,,0.0004,0.0004,,,CAF
Belarus,,,,,,,,,,0.004,BLR
Mali,,,,,,,,5,,,MLI
Sweden,0.064,0.064,0.064,,0.107,0.107,0.094,0.069,0.062,0.048,SWE
Bulgaria,,,,,,,0.576,0.7087,0.3155,,BGR
Romania,,,,,,,0.784,0.718,0.371,0.441,ROU
Angola,,,,,,,,0.1467,,,AGO
Chad,,,,,,,0.6722,0.6722,,,TCD
South Africa,,,,,,,,,,11.29,ZAF
Cyprus,,,,,,,0.1596,0.142,0.17,0.183,CYP
Brunei Darussalam,,,,,,0.0053,,,,,BRN
Malaysia,,,,,,2.505,2.505,2.505,,,MYS
Austria,,,0.05,0.055,0.05,0.0675,0.0675,,0.018,,AUT
Mozambique,,,,,,,0.69,,,1.005,MOZ
Hungary,0.4052,0.5115,,,0.433,0.1624,0.1577,0.1627,0.192,0.1563,HUN
Niger,,,,,,,,0.6565,,1.366,NER
Brazil,,,,,,,,,,34.17,BRA
Guinea,,,,,,,0.2929,,,,GIN
Panama,,,,,,,,,0.446,0.4461,PAN
Costa Rica,,,,,,,,,,1.11,CRI
Luxembourg,,,,,0.0002,0.0002,,,2e-05,0.0002,LUX
Ireland,,,,,,,0.0033,,,,IRL
Nigeria,,,,,,,,7.047,4.549,,NGA
Ecuador,,,,,,,8.076,8.076,,,ECU
Australia,,,,,,,,7.636,6.596,9.969,AUS
Algeria,,,,,,,3.502,,,,DZA
El Salvador,,,,,,,,1.389,,,SLV
Czechia,,,,0,0,0.014,0.0113,0.0088,0.0253,0.0276,Czechia
Chile,,,,,,,,16.64,,,CHL
Puerto Rico,,,,,0.1948,,0.1306,0.0624,0.0528,,PRI
Haiti,,,,,,,,,1.209,,HTI
Sierra Leone,,,,,0.0457,,0.0457,0.0457,,,SLE
Georgia,,,,,,,,0.867,,,GEO
Lao People's Democratic Republic,,,,,,,,3.193,,6.58,LAO
Gambia,,,,,,,0.0392,,,,GMB
Philippines,,,,,,,,66.29,66.98,67.04,PHL
Croatia,,,,,,,,0.0032,0.0084,0.03,HRV
Switzerland,,,,,,,,,0.1356,,CHE
Grenada,,,,,,0.0022,,,,0.0021,GRD
Venezuela (Bolivarian Republic of),,,,,,,,,16.71,,VEN
Portugal,,,,,5.1,,6.559,6.567,3.767,,PRT
Estonia,,,,,,,,,0.0001,,EST
Mexico,,,,,,,,58.78,59.38,,MEX
Uzbekistan,,,,,,,,,,53.7,UZB
Djibouti,,,,,,,0.0025,,,,DJI
Antigua and Barbuda,,,,,,0.0013,,0.0013,,,ATG
Spain,,,,,23.7,23.09,22.93,21.2,23.37,18.64,ESP
Colombia,,,,,,,,,5.867,,COL
Burundi,,,,,,,0.2,,,,BDI
Eswatini,,,,,,,0.993,,,,SWZ
Barbados,,,,,0.0548,,,0.0548,,,BRB
Madagascar,,,,,,,13,,,,MDG
Italy,,,,,,,,12.89,,16,ITA
