country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,,,,,5.102,5.201,5.413,5.878,5.124,4.888,CAN
Sao Tome and Principe,,,,,,,,,,0.0147,STP
Turkmenistan,,,,,,0.349,0.597,0.755,,,TKM
United States of America,,,,,60.67,,64,65.44,62.09,58.39,USA
United Republic of Tanzania,0.101,,,,,,0.527,,,,TZA
Lithuania,,,,,,0.205,0.172,,,0.1304,LTU
Cambodia,,,,0.026,,,,0.098,,,KHM
Ethiopia,,,,,,,0.333,0.81,,,ETH
Palestine,,,,,,,0.1014,0.2,,0.1812,PSE
Argentina,,,,,,4.56,,,5.85,,ARG
Cameroon,,,,0.18,0.184,,0.1611,0.2468,,,CMR
Burkina Faso,,,,0.06,0.073,0.0885,0.2789,0.3756,,,BFA
Ghana,0.105,,,,,,0.235,,0.255,0.2996,GHA
Saudi Arabia,,,,,1.517,,2.277,2.13,2.527,3.15,SAU
Japan,,,13.7,,17,16.34,16.28,15.7,15.41,,JPN
Slovenia,,,,,0.2593,0.2536,0.1871,0.1674,0.1617,0.1695,SVN
Guatemala,,,,,0.104,,0.4298,0.835,,,GTM
Bosnia and Herzegovina,,,,,,,0.3556,0.3504,0.3593,0.3608,BIH
Kuwait,,,,,,0.201,0.4005,0.4483,,,KWT
Russian Federation,,,,,,14.3,13.4,,,17.71,RUS
Jordan,,0.131,0.133,0.135,0.214,,0.249,0.294,0.354,0.4569,JOR
Dominica,,,,,,,,,0.019,,DMA
Liberia,,,,0.0351,,,0.0711,0.0802,,,LBR
Maldives,,,,0.0033,,,0.0062,,0.0056,,MDV
Jamaica,,,,,,0.167,,0.288,,0.14,JAM
Oman,,,,,0.056,,0.1,0.134,,0.13,OMN
North Macedonia,,,,,,0.215,0.2121,0.2264,,0.2775,MKD
Cabo Verde,,,,,,,0.0016,,,,CPV
Seychelles,,,,,0.0099,,0.0108,0.009,,,SYC
Gabon,,,,0.0432,,,0.0686,0.0847,,,GAB
Monaco,,,,,0.0067,0.006,0.0058,0.0055,0.005,,MCO
New Zealand,,,,0.874,,,0.62,1.149,0.81,,NZL
Yemen,,,,,0.201,,0.272,0.265,,,YEM
Albania,,,,,0.1,,0.5504,0.5613,,0.283,ALB
United Arab Emirates,,,0.099,,,0.5,0.5138,0.617,,,ARE
India,,11.4,14.05,18.36,25,,42,,56,,IND
Azerbaijan,,,,,1.013,0.3559,0.8189,0.601,0.4888,0.4496,AZE
Lesotho,,,,0.011,,,0.02,,,,LSO
Saint Vincent and the Grenadines,,,,,,,,,,0.0085,VCT
Kenya,,,,,0.403,,,0.47,1.186,0.495,KEN
Tajikistan,,,,,,0.412,0.44,0.647,,,TJK
Turkey,,,,,5.2,,4.813,5.164,4.936,5.839,TUR
Afghanistan,,,,0.2611,,,0.1542,0.2034,,,AFG
Bangladesh,,,,0.675,1.7,,,,3.6,,BGD
Mauritania,,,0.088,0.1,,,0.0759,0.0954,,,MRT
Iran (Islamic Republic of),,,,,,6,4.925,6.2,,,IRN
Viet Nam,,,1.32,1.75,,,1.051,1.206,,,VNM
Saint Lucia,,,,,,,,0.0125,,,LCA
Mongolia,,,,,,0.085,,0.098,0.071,0.0453,MNG
France,,,,5.904,5.982,5.89,5.966,5.683,5.38,5.175,FRA
Syrian Arab Republic,,,,,,1.169,1.38,1.475,,,SYR
Rwanda,,,,0.036,,,0.036,0.0614,,,RWA
Slovakia,,,,,,0.482,0.4159,0.3585,0.3058,0.2935,SVK
Somalia,,,,0.024,,,0.01,0.015,,,SOM
Peru,,,,,1.26,,,,1.254,2.797,PER
Norway,,,,,0.75,0.781,0.808,0.9482,0.816,0.7753,NOR
Malawi,,,,0.054,0.0768,0.095,0.1196,0.1431,,,MWI
Benin,,,,0.031,0.0321,0.033,0.041,,,0.145,BEN
Cuba,,0.729,,,,1.78,,1.7,,1.7,CUB
Montenegro,,,,,,,,,0.0964,,MNE
Saint Kitts and Nevis,,,,,,,,,0.0154,,KNA
Togo,,,,0.056,,,0.089,0.1407,,,TGO
China,,,6.769,29.69,35,25.16,57.5,71,72.9,79.4,CHN
Armenia,,,,,,0.865,0.5168,0.843,0.6005,0.6164,ARM
Republic of Korea,,2.27,,,4.47,6.87,8.613,6.924,,6.672,KOR
Dominican Republic,,,,,,,0.6,0.724,0.855,,DOM
Bolivia (Plurinational State of),,,,0.124,,,,,0.136,,BOL
Ukraine,,,,,4.637,,3.311,3.318,3.266,2.397,UKR
Bahrain,,,,,0.094,,,0.1779,,0.2756,BHR
Finland,,,,,0.424,0.412,0.404,0.4094,0.4,0.4,FIN
Libya,,,,0.393,0.41,0.5,0.61,,0.7,,LBY
Indonesia,,,,,4.729,,13.13,13.99,,23.8,IDN
Central African Republic,,,,0.015,,,0.0548,0.0601,,,CAF
Mauritius,,0.0584,,,,0.108,,0.201,0.206,0.26,MUS
Liechtenstein,,,,,,,,,,0.0079,LIE
Belarus,,,,,,0.752,0.8505,0.803,0.5895,0.523,BLR
Mali,,,,0.027,,,,0.107,,,MLI
Sweden,0.981,1.038,1.006,,1.016,1.052,1.038,1,1.019,0.955,SWE
Bulgaria,,,,,0.417,,1.07,,0.9338,0.882,BGR
Romania,1.47,2,2.2,2.67,2.25,2.05,1.86,1.06,1.053,1.048,ROU
Angola,,,,0.067,,,0.246,0.3195,,,AGO
Chad,,,,0.029,,,0.0885,0.1037,,,TCD
South Africa,,,,,2.281,3.092,3.904,,,3.89,ZAF
Cyprus,,0.025,0.037,0.045,0.055,0.05,0.0461,0.0656,0.0788,0.11,CYP
Brunei Darussalam,,,,,,,,0.1389,0.1515,,BRN
Qatar,,0.035,,,,0.0659,0.07,0.174,,0.4772,QAT
Malaysia,,,,,0.818,1.342,,,,,MYS
Austria,,,0.5582,0.7088,0.6851,0.6871,0.6687,,0.72,,AUT
Mozambique,,,,,0.053,,0.1699,0.2537,,0.372,MOZ
Uganda,0.064,,,,,,0.1514,,0.328,,UGA
Hungary,0.648,0.7631,,0.5715,0.9841,0.8288,0.8311,0.793,0.716,0.6245,HUN
Niger,,,,,0.08,,0.2554,0.2944,0.0617,0.1789,NER
Brazil,,,,,,11.5,,16.23,17.21,16.74,BRA
Guinea,,,,0.074,,,0.2083,0.2248,,,GIN
Panama,,,,,,,0.2067,0.2629,0.581,0.7591,PAN
Republic of Moldova,,,,,0.269,,0.164,0.146,,0.148,MDA
Costa Rica,,,,,,0.757,,,0.58,0.652,CRI
Luxembourg,,,,,0.0561,0.042,0.0461,,0.0406,0.0436,LUX
Bahamas,,,,,,,0.025,,,0.031,BHS
Ireland,,,0.413,,,0.47,0.58,0.679,0.628,0.631,IRL
Pakistan,,1.534,,,2.5,,6.39,8,9.65,,PAK
Nigeria,,,,1.125,,,3.242,4.099,5,,NGA
Ecuador,,,,,,,0.9073,1.293,,,ECU
Australia,,,,,,,4.443,4.191,3.744,3.392,AUS
Algeria,,,0.66,,1.12,,1.721,,3.02,3.6,DZA
El Salvador,,,,,0.246,,0.379,0.474,,,SLV
Czechia,,,,,,0.9585,,,0.6371,0.6166,Czechia
Chile,,1.008,,,1.095,,1.043,1.267,,,CHL
Puerto Rico,,,,,0.5689,,0.7099,0.9037,0.9386,0.796,PRI
Belgium,,,0.9933,,,0.874,0.7358,0.7304,0.725,0.739,BEL
Haiti,,,,,0.0499,0.111,,,0.19,,HTI
Belize,,,,0.002,,0.011,0.0114,,,,BLZ
Sierra Leone,,,,0.026,,,0.0955,0.111,,,SLE
Georgia,,,,,,,0.336,0.358,,,GEO
Lao People's Democratic Republic,,,,0.0792,,,,0.13,,,LAO
Gambia,,,0.0014,,,,0.0339,0.0412,,,GMB
Philippines,,,,,,4.269,5.406,6.958,7.301,8.929,PHL
Morocco,,,,,0.543,,3,,1.063,,MAR
Croatia,,,,,,0.5309,0.5048,0.5259,0.513,0.455,HRV
Guinea-Bissau,,,,,0.01,0.023,0.023,0.0341,,,GNB
Thailand,,,0.898,1.262,1.496,,,2.739,,,THA
Switzerland,1.14,1.129,1.103,1.143,1.192,1.056,1.069,0.981,1.202,0.931,CHE
Grenada,,,,,,,,,,0.012,GRD
Venezuela (Bolivarian Republic of),1.763,,,,,,4.411,5.123,,,VEN
Iraq,,0.58,0.715,0.85,1.28,2.79,4.3,,,1.23,IRQ
Portugal,,,,,0.4,,0.872,0.9763,0.9105,0.9141,PRT
Estonia,,,,,,0.088,0.0852,,0.061,0.0594,EST
Uruguay,,,,,,,0.41,,,,URY
Mexico,,,,,,,9.6,11.16,11.98,14.23,MEX
Lebanon,,0.083,,,,0.368,0.4341,0.38,,0.24,LBN
Uzbekistan,,,,,,2.582,3.45,4.1,,2.41,UZB
Tunisia,,,,,0.261,0.313,0.365,,0.496,0.137,TUN
Djibouti,,,,0.001,,,0.016,,,,DJI
Antigua and Barbuda,,,,,0.003,,,0.0053,0.0072,,ATG
Spain,,,,5.502,6.8,4.509,5.448,5.898,4.599,4.89,ESP
Colombia,,,,,,,2.467,,3.134,3.49,COL
Burundi,,,,0.036,,,0.049,0.0431,,,BDI
Eswatini,,,0.011,,,,0.024,0.0413,,,SWZ
Fiji,,,,0.006,,,0.0229,0.0253,,,FJI
Barbados,,,,,,0.02,,0.02,,,BRB
Madagascar,,,,0.163,,,0.2388,0.395,,,MDG
Italy,7,7.434,7.868,7.184,6.5,,9.111,8.942,9.451,9.488,ITA
Bhutan,,,,0.0072,,,,,0.017,,BTN
Sudan,,,,,,,,,0.95,,SDN
Serbia,,,,,,,,,0.6812,0.6595,SRB
Nepal,,,,,,0.246,0.2021,0.1476,,,NPL
Malta,0.016,0.0179,,0.0269,,0.049,0.0344,0.0344,0.015,0.0374,MLT
Democratic Republic of the Congo,,,,,0.216,,0.3893,0.4649,,,COD
Netherlands,,,,,1.28,1.267,1.303,1.248,1.217,1.26,NLD
Suriname,,,,0.028,,,0.03,0.0493,,,SUR
United Kingdom,,,6.975,7.143,,,7.312,5.99,5.828,6.227,GBR
Israel,0.24,0.3075,0.375,,0.482,,0.688,0.712,0.689,0.983,ISR
Iceland,,,0.094,0.098,0.087,,0.081,0.081,0.094,0.08,ISL
Zambia,,,,,0.301,0.27,0.29,,,,ZMB
Senegal,,,,0.068,,,0.098,,,,SEN
Papua New Guinea,,,,0.029,,,0.1545,0.2235,,,PNG
Trinidad and Tobago,,,,,,0.1876,0.198,0.214,0.2376,,TTO
Zimbabwe,,,,0.171,,,0.589,0.425,,0.4877,ZWE
Germany,,,,,,5.8,5.409,,,4.388,DEU
