country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,,,,,11.32,12.32,,14.23,13.21,13.73,CAN
Sao Tome and Principe,,,,,,,,,,35.94,STP
Turkmenistan,,,,,,1.468,2.397,2.701,,,TKM
United States of America,,,,,10.85,,11.44,11.64,12.79,13.14,USA
United Republic of Tanzania,,,,,,,10.17,,,,TZA
Lithuania,,,,,,4.71,6.214,,,50.35,LTU
Cambodia,,,,,,,,4.487,,,KHM
Ethiopia,,,,,,,5.991,10.3,,,ETH
Palestine,,,,,,,36.34,47.85,,48.29,PSE
Argentina,,,,,,15.96,,,15.48,,ARG
Cameroon,,,,45.45,46,,16.67,,,,CMR
Burkina Faso,,,,20.69,19.41,,38.97,45.92,,,BFA
Ghana,35,,,,,,23.93,,,,GHA
Saudi Arabia,,,,,8.913,,,8.999,12.1,13.49,SAU
Japan,,,15.53,,18.6,18.31,19.23,18.92,18.92,,JPN
Slovenia,,,,,,,20.81,17.91,17.42,18.2,SVN
Guatemala,,,,,,,,25.12,,,GTM
Kuwait,,,,,,37.36,43.86,,,,KWT
Russian Federation,,,,,,18.55,20.24,,,27.5,RUS
Jordan,,29.05,24.86,21.81,21.75,,31.01,31.55,41.7,43.76,JOR
Dominica,,,,,,,,,95,,DMA
Liberia,,,,27,,,54.36,,,,LBR
Maldives,,,,97.06,,,,,94.92,,MDV
Jamaica,,,,,,18,,35.47,,10.34,JAM
Oman,,,,,4.579,,7.353,10.14,,6.944,OMN
North Macedonia,,,,,,13.83,33.5,41.07,,53.01,MKD
Cabo Verde,,,,,,,7.273,,,,CPV
Seychelles,,,,,83.19,,,65.69,,,SYC
Gabon,,,,72,,,57.02,60.89,,,GAB
Monaco,,,,,100,100,100,100,100,,MCO
New Zealand,,,,46,,,19.75,23.41,15.57,,NZL
Yemen,,,,,6.855,,8,7.433,,,YEM
Albania,,,,,8.333,,29.95,42.81,,,ALB
United Arab Emirates,,,11,,,23.72,17.69,15.43,,,ARE
India,,3,3.206,3.691,5,,6.881,,7.359,,IND
Azerbaijan,,,,,6.253,2.845,8.132,4.898,4.084,3.518,AZE
Lesotho,,,,22,,,45.66,,,,LSO
Saint Vincent and the Grenadines,,,,,,,,,,100,VCT
Kenya,,,,,19.67,,,20.26,36.86,12.28,KEN
Tajikistan,,,,,,3.471,3.679,5.631,,,TJK
Turkey,,,,,16.46,,12.74,14.35,9.772,9.932,TUR
Afghanistan,,,,1,,,0.7604,,,,AFG
Bangladesh,,,,,,,,,10.04,,BGD
Mauritania,,,12.05,,,,4.741,7.067,,,MRT
Iran (Islamic Republic of),,,,,,7.229,5.491,6.645,,,IRN
Viet Nam,,,3.487,3.866,,,,1.47,,,VNM
Saint Lucia,,,,,,,,29.14,,,LCA
Mongolia,,,,,,19.86,,18.15,12.89,9.797,MNG
France,,,,16.92,15.25,19.41,18.43,18.09,19.17,19.57,FRA
Syrian Arab Republic,,,,,,8.101,8.435,8.801,,,SYR
Rwanda,,,,,,,24,,,,RWA
Slovakia,,,,,,36.79,38.02,52.11,45.96,52.76,SVK
Somalia,,,,2.963,,,0.304,0.4548,,,SOM
Peru,,,,,,,,,9.18,17.37,PER
Norway,,,,,,32.27,33.68,31.34,,,NOR
Malawi,,,,,,10.15,9.026,10.55,,,MWI
Benin,,,,28.18,,,31.54,,,,BEN
Cuba,,,,,,34.16,,34.43,,24.43,CUB
Montenegro,,,,,,,,,59.91,,MNE
Saint Kitts and Nevis,,,,,,,,,98.72,,KNA
Togo,,,,61.54,,,52.66,,,,TGO
China,,,1.526,6.171,7,4.789,10.46,12.43,12.08,13.28,CHN
Armenia,,,,,,29.57,29.82,29.5,20.42,21.51,ARM
