country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,CAN
Turkmenistan,,,,,1,1,1,1,1,1,TKM
United States of America,2662,2662,2662,2662,2662,2662,2662,2662,2662,2662,USA
United Republic of Tanzania,80,80,80,80,80,80,80,80,80,80,TZA
Lithuania,,,,,15.36,15.36,15.36,15.36,15.36,15.36,LTU
Cambodia,116,116,116,116,116,116,116,116,116,116,KHM
Ethiopia,,,,,,120,120,120,120,120,ETH
Palestine,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,PSE
Argentina,276,276,276,276,276,276,276,276,276,276,ARG
Cameroon,268,268,268,268,268,268,268,268,268,268,CMR
Burkina Faso,8,8,8,8,8,8,8,8,8,8,BFA
Ghana,29,29,29,29,29,29,29,29,29,29,GHA
Saudi Arabia,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,SAU
Japan,420,420,420,420,420,420,420,420,420,420,JPN
Slovenia,,,,,18.52,18.52,18.52,18.52,18.52,18.52,SVN
Guatemala,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,GTM
Bosnia and Herzegovina,,,,,34.34,34.34,34.34,34.34,34.34,34.34,BIH
Kuwait,0,0,0,0,0,0,0,0,0,0,KWT
Russian Federation,,,,,4036,4036,4036,4036,4036,4036,RUS
Jordan,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,JOR
Liberia,200,200,200,200,200,200,200,200,200,200,LBR
Maldives,0,0,0,0,0,0,0,0,0,0,MDV
Jamaica,9.111,9.111,9.111,9.111,9.111,9.111,9.111,9.111,9.111,9.111,JAM
Oman,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,OMN
North Macedonia,,,,,5.4,5.4,5.4,5.4,5.4,5.4,MKD
Cabo Verde,0.181,0.181,0.181,0.181,0.181,0.181,0.181,0.181,0.181,0.181,CPV
Gabon,162,162,162,162,162,162,162,162,162,162,GAB
Yemen,2,2,2,2,2,2,2,2,2,2,YEM
Albania,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05,ALB
United Arab Emirates,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,ARE
India,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,IND
Azerbaijan,,,,,5.955,5.955,5.955,5.955,5.955,5.955,AZE
Lesotho,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,LSO
Kenya,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,KEN
Tajikistan,,,,,60.46,60.46,60.46,60.46,60.46,60.46,TJK
Turkey,186,186,186,186,186,186,186,186,186,186,TUR
Afghanistan,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,AFG
Bangladesh,83.91,83.91,83.91,83.91,83.91,83.91,83.91,83.91,83.91,83.91,BGD
