country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,998467,998467,998467,998467,998467,998467,998467,998467,998467,998467,CAN
Sao Tome and Principe,96,96,96,96,96,96,96,96,96,96,STP
Turkmenistan,,,,,48810,48810,48810,48810,48810,48810,TKM
United States of America,962909,962909,962909,962909,962909,962909,963203,963203,983151,983151,USA
United Republic of Tanzania,94730,94730,94730,94730,94730,94730,94730,94730,94730,94730,TZA
Lithuania,,,,,6530,6530,6530,6530,6530,6529,LTU
Cambodia,18104,18104,18104,18104,18104,18104,18104,18104,18104,18104,KHM
Ethiopia,,,,,,110430,110430,110430,110430,110430,ETH
Palestine,602,602,602,602,602,602,602,602,602,602,PSE
Argentina,278040,278040,278040,278040,278040,278040,278040,278040,278040,278040,ARG
Cameroon,47544,47544,47544,47544,47544,47544,47544,47544,47544,47544,CMR
Burkina Faso,27422,27422,27422,27422,27422,27422,27422,27422,27422,27422,BFA
Ghana,23854,23854,23854,23854,23854,23854,23854,23854,23854,23854,GHA
Saudi Arabia,214969,214969,214969,214969,214969,214969,214969,214969,214969,214969,SAU
Japan,37780,37780,37780,37780,37780,37780,37789,37793,37796,37797,JPN
Slovenia,,,,,2027,2027,2027,2027,2027,2068,SVN
Guatemala,10889,10889,10889,10889,10889,10889,10889,10889,10889,10889,GTM
Bosnia and Herzegovina,,,,,5121,5121,5121,5121,5121,5121,BIH
Kuwait,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,KWT
Russian Federation,,,,,1709824,1709824,1709824,1709824,1709825,1709825,RUS
Jordan,8878,8878,8878,8878,8878,8878,8878,8878,8932,8932,JOR
Dominica,75,75,75,75,75,75,75,75,75,75,DMA
Liberia,11137,11137,11137,11137,11137,11137,11137,11137,11137,11137,LBR
Maldives,30,30,30,30,30,30,30,30,30,30,MDV
Jamaica,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,JAM
Oman,30950,30950,30950,30950,30950,30950,30950,30950,30950,30950,OMN
North Macedonia,,,,,2571,2571,2571,2571,2571,2571,MKD
Cabo Verde,403,403,403,403,403,403,403,403,403,403,CPV
Seychelles,46,46,46,46,46,46,46,46,46,46,SYC
Gabon,26767,26767,26767,26767,26767,26767,26767,26767,26767,26767,GAB
Niue,26,26,26,26,26,26,26,26,26,26,NIU
New Zealand,26771,26771,26771,26771,26771,26771,26771,26771,26771,26771,NZL
Yemen,52797,52797,52797,52797,52797,52797,52797,52797,52797,52797,YEM
Andorra,47,47,47,47,47,47,47,47,47,47,AND
Albania,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,ALB
Samoa,284,284,284,284,284,284,284,284,284,284,WSM
United Arab Emirates,8360,8360,8360,8360,8360,8360,8360,8360,8360,8360,ARE
India,328726,328726,328726,328726,328726,328726,328726,328726,328726,328726,IND
Azerbaijan,,,,,8660,8660,8660,8660,8660,8660,AZE
Lesotho,3036,3036,3036,3036,3036,3036,3036,3036,3036,3036,LSO
Saint Vincent and the Grenadines,39,39,39,39,39,39,39,39,39,39,VCT
Kenya,58037,58037,58037,58037,58037,58037,58037,58037,58037,58037,KEN
Tajikistan,,,,,14255,14255,14255,14255,14255,14138,TJK
Turkey,78535,78535,78535,78535,78535,78535,78535,78535,78535,78535,TUR
Afghanistan,,65286,65286,65286,65286,65286,65286,65286,65286,65286,AFG
Bangladesh,14846,14846,14846,14846,14846,14846,14846,14846,14846,14763,BGD
Mauritania,103070,103070,103070,103070,103070,103070,103070,103070,103070,103070,MRT
Iran (Islamic Republic of),174515,174515,174515,174515,174515,174515,174515,174515,174515,174515,IRN
Viet Nam,33169,32957,33169,33035,33109,33111,32930,33121,33097,33123,VNM
Saint Lucia,62,62,62,62,62,62,62,62,62,62,LCA
San Marino,6,6,6,6,6,6,6,6,6,6,SMR
Mongolia,156412,156412,156412,156412,156412,156412,156412,156412,156412,156412,MNG
France,54909,54909,54909,54909,54909,54909,54909,54909,54909,54909,FRA
Syrian Arab Republic,18518,18518,18518,18518,18518,18518,18518,18518,18518,18518,SYR
Rwanda,2634,2634,2634,2634,2634,2634,2634,2634,2634,2634,RWA
Slovakia,,,,,,4903,4903,4903,4904,4903,SVK
Somalia,63766,63766,63766,63766,63766,63766,63766,63766,63766,63766,SOM
Peru,128522,128522,128522,128522,128522,128522,128522,128522,128522,128522,PER
Vanuatu,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,VUT
Nauru,2,2,2,2,2,2,2,2,2,2,NRU
Norway,38518,38518,38518,38518,38518,38518,38518,38518,38518,62522,NOR
Malawi,11848,11848,11848,11848,11848,11848,11848,11848,11848,11848,MWI
Cook Islands,24,24,24,24,24,24,24,24,24,24,COK
Benin,11476,11476,11476,11476,11476,11476,11476,11476,11476,11476,BEN
Cuba,10989,10989,10989,10989,10989,10989,10989,10989,10988,10988,CUB
Montenegro,,,,,,,,1381,1381,1381,MNE
Saint Kitts and Nevis,35,35,26,26,26,26,26,26,26,26,KNA
Togo,5679,5679,5679,5679,5679,5679,5679,5679,5679,5679,TGO
China,960000,960000,960000,960000,960000,960000,960000,960000,960000,960001,CHN
Armenia,,,,,2974,2974,2974,2974,2974,2974,ARM
Republic of Korea,9926,9926,9926,9926,9926,9926,9959,9972,10015,10034,KOR
