country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,,,,42.2,45.09,42.21,,41.32,35.6,35.6,CAN
Sao Tome and Principe,,,,,,0.007,,,,0.0409,STP
Turkmenistan,,,,,,23.7,24.91,27.87,,,TKM
United States of America,,,517.6,,465.1,,473.5,478.6,418.7,444.3,USA
United Republic of Tanzania,,,,,,,5.184,,,,TZA
Lithuania,,,,,,4.347,2.768,2.264,,0.259,LTU
Cambodia,,,,,,,,2.184,,,KHM
Ethiopia,,,,,,,5.558,7.861,,10.55,ETH
Palestine,,,,,,,0.269,0.408,,0.288,PSE
Argentina,,27.6,,,,28.58,,,37.69,,ARG
Cameroon,,,,0.396,0.4,,0.9664,,,,CMR
Burkina Faso,,,,0.29,0.376,,0.7157,0.818,,,BFA
Ghana,0.3,,,,,,0.982,,,,GHA
Saudi Arabia,,,,,16.12,,,22.64,19.14,21.2,SAU
Japan,,,88.2,,91.4,89.19,84.46,82.75,81.22,,JPN
Slovenia,,,,,,,0.8992,0.9349,0.9281,0.9314,SVN
Guatemala,,,,,,,,3.324,,,GTM
Bosnia and Herzegovina,,,,,,,0.3755,0.3896,0.4377,0.4009,BIH
Kuwait,,,,,,0.255,0.415,,,,KWT
Russian Federation,,,,,99.6,77.1,66.2,69.3,64,64.41,RUS
Jordan,,0.451,0.535,0.619,0.937,,0.7381,0.9222,0.849,0.9035,JOR
Dominica,,,,,,0.0166,0.0166,0.0166,0.02,,DMA
Liberia,,,,0.13,,,0.1308,,,,LBR
Maldives,,,,0.0034,,,,,0.0047,,MDV
Jamaica,,,,,,0.9275,,0.8115,,1.354,JAM
Oman,,,,,1.197,,1.3,1.186,,1.634,OMN
North Macedonia,,,,,,1.555,0.6332,0.5512,,0.5235,MKD
Cabo Verde,,,,,,,0.0203,,,,CPV
Seychelles,,,,,0.0119,,,0.0127,,,SYC
Gabon,,,,0.06,,,0.1203,0.1391,,,GAB
Monaco,,,,,0.0067,0.006,0.0058,0.0055,0.005,,MCO
New Zealand,,,1.2,1.9,,,3.14,4.908,5.201,9.875,NZL
Yemen,,,,,2.922,,3.384,3.54,,,YEM
Albania,,,,,1.2,,1.838,1.311,,1.188,ALB
United Arab Emirates,,,0.9,,,1.723,2.334,2.235,,2.562,ARE
India,,380,438.3,497.4,500,,610.4,,647.5,,IND
Azerbaijan,,,,,16.2,12.51,10.07,12.27,11.97,12.78,AZE
Lesotho,,,,0.05,,,0.0438,,,,LSO
Saint Vincent and the Grenadines,,,,,,0.01,,,,0.0079,VCT
Kenya,,,,,2.049,,,2.32,3.218,4.032,KEN
Tajikistan,,,,,,11.52,11.66,11.19,,,TJK
Turkey,,,,,31.6,,37.78,35.94,50.51,58.76,TUR
Afghanistan,,10.7,,26.11,,,20.28,,,,AFG
Bangladesh,,,,,,,,,35.87,,BGD
Mauritania,,,0.73,,,,1.599,1.348,,,MRT
Iran (Islamic Republic of),,45,,,,83,89.7,93.1,,,IRN
Viet Nam,,,37.86,45.27,,,,81.86,,,VNM
Saint Lucia,,,,,,,,0.0429,,,LCA
Mongolia,,,,,,0.428,,0.54,0.551,0.4624,MNG
France,,,30.96,34.88,39.21,30.33,32.36,30.99,27.64,26.44,FRA
