country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,CAN
Sao Tome and Principe,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,STP
Turkmenistan,,,,,1.405,1.405,1.405,1.405,1.405,1.405,TKM
United States of America,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,USA
United Republic of Tanzania,84,84,84,84,84,84,84,84,84,84,TZA
Lithuania,,,,,15.46,15.46,15.46,15.46,15.46,15.46,LTU
Cambodia,120.6,120.6,120.6,120.6,120.6,120.6,120.6,120.6,120.6,120.6,KHM
Ethiopia,,,,,,122,122,122,122,122,ETH
Palestine,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,PSE
Argentina,292,292,292,292,292,292,292,292,292,292,ARG
Cameroon,273,273,273,273,273,273,273,273,273,273,CMR
Burkina Faso,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,BFA
Ghana,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,GHA
Saudi Arabia,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,SAU
Japan,430,430,430,430,430,430,430,430,430,430,JPN
Slovenia,,,,,18.67,18.67,18.67,18.67,18.67,18.67,SVN
Guatemala,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,GTM
Bosnia and Herzegovina,,,,,35.5,35.5,35.5,35.5,35.5,35.5,BIH
Kuwait,0,0,0,0,0,0,0,0,0,0,KWT
Russian Federation,,,,,4312,4312,4312,4312,4312,4312,RUS
Jordan,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,JOR
Dominica,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,DMA
Liberia,200,200,200,200,200,200,200,200,200,200,LBR
Maldives,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,MDV
Jamaica,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,JAM
Oman,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,OMN
North Macedonia,,,,,5.4,5.4,5.4,5.4,5.4,5.4,MKD
Cabo Verde,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,CPV
Gabon,164,164,164,164,164,164,164,164,164,164,GAB
New Zealand,327,327,327,327,327,327,327,327,327,327,NZL
Yemen,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,YEM
Andorra,0.3156,0.3156,0.3156,0.3156,0.3156,0.3156,0.3156,0.3156,0.3156,0.3156,AND
Albania,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,ALB
United Arab Emirates,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,ARE
India,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,IND
Azerbaijan,,,,,8.115,8.115,8.115,8.115,8.115,8.115,AZE
Lesotho,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,LSO
