country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,128633,120040,113813,107264,100409,95308,90993,86311,81660,77818,CAN
Sao Tome and Principe,28115,24934,22085,20298,18350,16629,15045,13366,11919,10671,STP
Turkmenistan,,,,,360.3,322.6,304.8,288.5,266.7,244,TKM
United States of America,13208,12618,12036,11483,10946,10355,9802,9375,8994,8685,USA
United Republic of Tanzania,5790,4936,4223,3621,3086,2655,2326,2004,1711,1466,TZA
Lithuania,,,,,4192,4318,4488,4742,5091,5349,LTU
Cambodia,16521,16764,17433,14714,12534,10676,9545,8818,8161,7535,KHM
Ethiopia,,,,,,2001,1731,1506,1320,1162,ETH
Palestine,688.1,580.8,507.5,432.1,355.1,282.8,240.3,216.4,189.1,165,PSE
Argentina,11782,10863,10071,9321,8676,8149,7707,7305,6936,6596,ARG
Cameroon,39709,34596,29807,25524,22000,19273,16972,14841,12949,11349,CMR
Burkina Faso,2146,1953,1746,1536,1345,1172,1017,877.1,754.3,651.3,BFA
Ghana,3336,2974,2638,2248,1959,1721,1521,1335,1177,1051,GHA
Saudi Arabia,375.4,291.5,217.2,165.2,138.1,123,109.6,95.04,82.51,72.86,SAU
Japan,3982,3744,3595,3494,3431,3388,3362,3346,3348,3373,JPN
Slovenia,,,,,9307,9391,9391,9270,9063,8976,SVN
Guatemala,18378,16140,14265,12640,11247,10029,8944,7971,7151,6456,GTM
Bosnia and Herzegovina,,,,,8375,9462,9401,9406,9731,10123,BIH
Kuwait,0,0,0,0,0,0,0,0,0,0,KWT
Russian Federation,,,,,29073,29181,29698,30122,30065,29947,RUS
Jordan,362.6,313.4,266.4,218,171.9,141.1,129,110.1,85.32,70.29,JOR
Dominica,2788,2724,2661,2764,2818,2827,2865,2819,2776,2706,DMA
Liberia,133869,116279,98425,91283,98863,84818,65295,56931,47824,42265,LBR
Maldives,243.1,207.3,176.5,147.7,127,113.5,101.9,89.26,77.68,68.76,MDV
Jamaica,5592,5199,4841,4548,4389,4182,4015,3899,3809,3744,JAM
Oman,1803,1432,1085,864.2,706,622.2,599.8,525.7,404,302,OMN
North Macedonia,,,,,2715,2700,2635,2615,2604,2592,MKD
Cabo Verde,1096,1088,1009,923.4,835.4,734.9,663.6,616.8,583.7,549,CPV
Gabon,267493,241603,213848,187022,163184,143608,126739,110141,93341,80988,GAB
New Zealand,111604,104741,102540,98762,93349,87154,82513,77250,73187,69486,NZL
Yemen,327.8,288.8,239.6,197.6,157.6,128,111,96.54,84.3,74.34,YEM
Andorra,11737,9631,8070,6513,5359,4906,4505,3817,3829,4101,AND
Albania,11934,10683,9648,8619,8300,8697,8625,8896,9212,9181,ALB
United Arab Emirates,450.7,200.5,126.1,96.09,71.87,55.56,42.77,24.82,16.85,15.96,ARE
India,2496,2223,1981,1770,1596,1450,1327,1226,1145,1080,IND
Azerbaijan,,,,,1086,1024,980.4,930.2,875.9,825.7,AZE
Lesotho,4861,4319,3798,3430,3137,2890,2750,2639,2502,2342,LSO
Saint Vincent and the Grenadines,1082,1024,978.5,944.3,925.9,925.9,925.1,917.4,914.9,909.9,VCT
Kenya,1713,1425,1179,980.2,829.2,714.9,623.2,543.5,474.3,416.5,KEN
Tajikistan,,,,,11532,10694,9842,8873,7937,7114,TJK
Turkey,6204,5522,4932,553.1,4072,3760,3485,3262,3044,2811,TUR
Afghanistan,4022,3608,3698,4099,3372,2565,2145,1771,1536,1327,AFG
Bangladesh,1553,1401,1221,1068,944.1,847.8,768.7,713.6,674.3,637.6,BGD
Mauritania,328.4,284.3,246.2,213.8,186.8,161.8,139.2,120.7,104.4,90.5,MRT
Iran (Islamic Republic of),4273,3691,3068,313,2206,2049,1890,1784,1681,1583,IRN
Viet Nam,7890,7061,6313,5626,5053,4640,4385,4184,3973,3762,VNM
Saint Lucia,2817,2660,2475,2290,2114,1985,1877,1793,1716,1678,LCA
Mongolia,25645,22279,19573,17118,15508,14897,14239,13426,12367,11313,MNG
France,3865,3737,3666,3570,3478,3404,3321,3228,3143,3078,FRA
Syrian Arab Republic,1049,884.8,743.7,627.8,540.8,469.9,417.4,363.3,349.2,390.4,SYR
Rwanda,2385,2044,1731,1411,1417,1457,1113,1006,880.5,778.2,RWA
Slovakia,,,,,,2337,2333,2334,2326,2313,SVK
