country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,22156,23742,25041,26570,28384,29903,31321,33020,34901,36624,CAN
Sao Tome and Principe,77.54,87.43,98.71,107.4,118.8,131.1,144.9,163.1,182.9,204.3,STP
Turkmenistan,,,,,3900,4355,4610,4870,5268,5758,TKM
United States of America,213352,223324,234133,245403,257454,272137,287507,300595,313335,324459,USA
United Republic of Tanzania,14507,17018,19892,23199,27220,31635,36106,41924,49083,57310,TZA
Lithuania,,,,,3688,3580,3445,3260,3037,2890,LTU
Cambodia,7300,7194,6918,8196,9622,11296,12635,13677,14777,16005,KHM
Ethiopia,,,,,,60976,70497,81000,92444,104957,ETH
Palestine,1180,1398,1600,1879,2287,2871,3379,3752,4295,4921,PSE
Argentina,24783,26879,28994,31326,33655,35834,37889,39970,42097,44271,ARG
Cameroon,6875,7891,9159,10696,12409,14165,16085,18395,21082,24054,CMR
Burkina Faso,5825,6399,7158,8140,9297,10666,12293,14252,16571,19193,BFA
Ghana,9084,10190,11488,13481,15464,17609,19925,22700,25733,28834,GHA
Saudi Arabia,6394,8232,11048,14526,17379,19506,21906,25253,29086,32938,SAU
Japan,107977,114839,119616,123083,125341,126903,127903,128505,128426,127484,JPN
Slovenia,,,,,2006,1988,1988,2014,2060,2080,SVN
Guatemala,5942,6766,7655,8639,9709,10888,12209,13700,15271,16914,GTM
Bosnia and Herzegovina,,,,,4239,3752,3776,3774,3648,3507,BIH
Kuwait,854.6,1157,14104,1943,1917,1715,2144,2503,3396,4137,KWT
Russian Federation,,,,,148318,147768,145195,143150,143421,143990,RUS
Jordan,1881,2176,2560,3128,3968,4832,5287,6193,7993,9702,JOR
Dominica,71.73,73.41,75.17,72.37,70.97,70.75,69.82,70.95,72.04,73.92,DMA
Liberia,1494,1720,2032,2191,2023,2358,3063,3513,4182,4732,LBR
Maldives,123.4,144.7,170,203.1,236.2,264.3,294.3,336.1,386.2,436.3,MDV
Jamaica,1935,2081,2235,2379,2465,2587,2695,2775,2841,2890,JAM
Oman,776.4,977.8,1290,1620,1983,2250,2334,2663,3465,4636,OMN
North Macedonia,,,,,1989,2000,2049,2065,2074,2083,MKD
Cabo Verde,273.7,275.8,297.3,324.9,359.1,408.2,452.1,486.4,514,546.4,CPV
Seychelles,55.13,62.5,68.17,70.01,72.71,78.46,84.2,90.28,92.28,94.74,SYC
Gabon,613.1,678.8,766.9,876.9,1005,1142,1294,1489,1757,2025,GAB
Niue,4.724,3.686,3.127,2.521,2.258,2.067,1.789,1.651,1.623,1.618,NIU
Monaco,24.05,25.81,27.62,29.17,29.86,31.25,32.63,35.11,37.78,38.7,MCO
New Zealand,2930,3122,3189,3311,3503,3752,3963,4233,4468,4706,NZL
Yemen,6407,7272,8765,10629,13326,16409,18919,21752,24910,28250,YEM
Andorra,26.89,32.77,39.11,48.46,58.89,64.33,70.05,82.68,82.43,76.96,AND
Albania,2254,2518,2788,3121,3241,3093,3119,3024,2920,2930,ALB
Samoa,147.3,153.2,157.4,161,165.6,172.2,176.6,182.3,189.2,196.4,WSM
United Arab Emirates,332.8,748.1,1190,1561,2087,2700,3507,6044,8900,9400,ARE
India,579412,650485,729868,816793,906021,997405,1089807,1179681,1263066,1339180,IND
Azerbaijan,,,,,7472,7926,8277,8724,9265,9828,AZE
Lesotho,1076,1211,1377,1525,1667,1810,1902,1982,2090,2233,LSO
Saint Vincent and the Grenadines,92.46,97.65,102.2,105.9,108,108,108.1,109,109.3,109.9,VCT
Kenya,12083,14528,17559,21119,24964,28954,33214,38086,43647,49700,KEN
Tajikistan,,,,,5503,5934,6448,7152,7995,8921,TJK
Turkey,36587,41108,46025,410401,55749,60372,65143,69597,74570,80745,TUR
Afghanistan,11722,13068,12750,11503,13981,18382,21980,26617,30697,35530,AFG
Bangladesh,67597,74926,86007,98344,111222,123855,136601,147139,155727,164670,BGD
Mauritania,1218,1407,1625,1871,2141,2472,2873,3313,3830,4420,MRT
Iran (Islamic Republic of),30074,34811,41883,410497,58261,62711,67983,72031,76454,81163,IRN
Viet Nam,45549,50900,56932,63881,71130,77453,81956,85890,90452,95541,VNM
Saint Lucia,106.5,112.8,121.2,131,141.9,151.1,159.8,167.3,174.8,178.8,LCA
San Marino,19.4,20.3,21.94,23.21,24.75,26.51,28.12,29.98,31.91,33.4,SMR
Mongolia,1357,1562,1778,2033,2244,2336,2444,2592,2814,3076,MNG
France,51740,53516,54548,56025,57497,58763,60225,61961,63640,64980,FRA
Syrian Arab Republic,6800,8061,9590,11361,13187,15177,17088,19633,20421,18270,SYR
Rwanda,3984,4648,5489,6732,6702,6522,8536,9447,10789,12208,RWA
Slovakia,,,,,,5391,5400,5398,5417,5448,SVK
Somalia,3475,4827,6716,7018,7489,8137,9564,11039,12764,14743,SOM
Peru,14072,16061,18226,20452,22737,24827,26601,28293,30159,32165,PER
Vanuatu,90.82,106.2,121.4,136.1,155.2,175,194,220,247.5,276.2,VUT
Nauru,6.743,7.232,7.717,8.554,9.546,10.06,10.08,10,10.48,11.36,NRU
Norway,3934,4044,4112,4187,4293,4420,4546,4720,5012,5305,NOR
Malawi,4860,5628,6484,8120,9730,10382,12014,13841,16097,18622,MWI
Cook Islands,21.42,19.2,17.39,17.97,18.71,18.57,18.7,19.41,18,17.38,COK
Benin,3044,3433,3928,4535,5332,6282,7295,8455,9729,11176,BEN
Cuba,9025,9635,9926,10270,10733,11014,11218,11304,11382,11485,CUB
Montenegro,,,,,,,,619.5,626.4,629,MNE
Saint Kitts and Nevis,44.33,43.94,42.76,41.35,41.36,43.85,46.64,49.78,52.59,55.34,KNA
Togo,2248,2519,2915,3474,3973,4535,5251,5997,6859,7798,TGO
