country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,370,370,370,370,370,370,370,370,370,370,CAN
Turkmenistan,,,,,0.405,0.405,0.405,0.405,0.405,0.405,TKM
United States of America,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,USA
United Republic of Tanzania,30,30,30,30,30,30,30,30,30,30,TZA
Lithuania,,,,,1.1,1.1,1.1,1.1,1.1,1.1,LTU
Cambodia,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,KHM
Ethiopia,,,,,,20,20,20,20,20,ETH
Palestine,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,PSE
Argentina,128,128,128,128,128,128,128,128,128,128,ARG
Cameroon,100,100,100,100,100,100,100,100,100,100,CMR
Burkina Faso,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,BFA
Ghana,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,GHA
Saudi Arabia,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,SAU
Japan,27,27,27,27,27,27,27,27,27,27,JPN
Slovenia,,,,,13.5,13.5,13.5,13.5,13.5,13.5,SVN
Guatemala,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,GTM
Bosnia and Herzegovina,,,,,11.57,11.57,11.57,11.57,11.57,11.57,BIH
Kuwait,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,KWT
Russian Federation,,,,,788,788,788,788,788,788,RUS
Jordan,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,JOR
Liberia,45,45,45,45,45,45,45,45,45,45,LBR
Maldives,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,MDV
Jamaica,5.472,5.472,5.472,5.472,5.472,5.472,5.472,5.472,5.472,5.472,JAM
Oman,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,OMN
Cabo Verde,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,CPV
Gabon,62,62,62,62,62,62,62,62,62,62,GAB
Yemen,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,YEM
Albania,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,ALB
United Arab Emirates,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,ARE
India,432,432,432,432,432,432,432,432,432,432,IND
Azerbaijan,,,,,6.51,6.51,6.51,6.51,6.51,6.51,AZE
Lesotho,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,LSO
Kenya,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,KEN
Tajikistan,,,,,6,6,6,6,6,6,TJK
Turkey,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,TUR
Afghanistan,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,AFG
Bangladesh,21.12,21.12,21.12,21.12,21.12,21.12,21.12,21.12,21.12,21.12,BGD
Mauritania,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,MRT
Iran (Islamic Republic of),49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,IRN
Viet Nam,71.42,71.42,71.42,71.42,71.42,71.42,71.42,71.42,71.42,71.42,VNM
Mongolia,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,MNG
France,120,120,120,120,120,120,120,120,120,120,FRA
Syrian Arab Republic,6.174,6.174,6.174,6.174,6.174,6.174,6.174,6.174,6.174,6.174,SYR
Rwanda,7,7,7,7,7,7,7,7,7,7,RWA
Slovakia,,,,,,1.73,1.73,1.73,1.73,1.73,SVK
Somalia,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,SOM
Peru,303,303,303,303,303,303,303,303,303,303,PER
Vanuatu,4.377,4.377,4.377,4.377,4.377,4.377,4.377,4.377,4.377,4.377,VUT
Nauru,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NRU
Norway,96,96,96,96,96,96,96,96,96,96,NOR
Malawi,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,MWI
Benin,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,BEN
Cuba,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,CUB
Saint Kitts and Nevis,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,KNA
Togo,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,TGO
China,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,CHN
Armenia,,,,,4.311,4.311,4.311,4.311,4.311,4.311,ARM
Republic of Korea,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,KOR
Dominican Republic,4.161,4.161,4.161,4.161,4.161,4.161,4.161,4.161,4.161,4.161,DOM
Bolivia (Plurinational State of),130,130,130,130,130,130,130,130,130,130,BOL
Ukraine,,,,,22,22,22,22,22,22,UKR
Bahrain,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,BHR
Finland,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,FIN
Libya,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,LBY
Indonesia,457.4,457.4,457.4,457.4,457.4,457.4,457.4,457.4,457.4,457.4,IDN
Central African Republic,56,56,56,56,56,56,56,56,56,56,CAF
Mauritius,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,MUS
Belarus,,,,,15.9,15.9,15.9,15.9,15.9,15.9,BLR
Mali,20,20,20,20,20,20,20,20,20,20,MLI
Sweden,20,20,20,20,20,20,20,20,20,20,SWE
Bulgaria,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,BGR
Romania,8.46,8.46,8.46,8.46,8.46,8.46,8.46,8.46,8.46,8.46,ROU
Angola,58,58,58,58,58,58,58,58,58,58,AGO
Chad,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,TCD
South Africa,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,ZAF
Cyprus,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,CYP
Brunei Darussalam,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,BRN
Qatar,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,QAT
Malaysia,64,64,64,64,64,64,64,64,64,64,MYS
Austria,6,6,6,6,6,6,6,6,6,6,AUT
Mozambique,17,17,17,17,17,17,17,17,17,17,MOZ
Uganda,29,29,29,29,29,29,29,29,29,29,UGA
Hungary,6,6,6,6,6,6,6,6,6,6,HUN
Niger,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,NER
Brazil,645.6,645.6,645.6,645.6,645.6,645.6,645.6,645.6,645.6,645.6,BRA
Guinea,38,38,38,38,38,38,38,38,38,38,GIN
Panama,21,21,21,21,21,21,21,21,21,21,PAN
Republic of Moldova,,,,,1.3,1.3,1.3,1.3,1.3,1.3,MDA
Costa Rica,37.31,37.31,37.31,37.31,37.31,37.31,37.31,37.31,37.31,37.31,CRI
Luxembourg,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,LUX
Ireland,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,IRL
Pakistan,55,55,55,55,55,55,55,55,55,55,PAK
Nigeria,87,87,87,87,87,87,87,87,87,87,NGA
Ecuador,134,134,134,134,134,134,134,134,134,134,ECU
Australia,72,72,72,72,72,72,72,72,72,72,AUS
Algeria,1.517,1.517,1.517,1.517,1.517,1.517,1.517,1.517,1.517,1.517,DZA
El Salvador,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,SLV
Czechia,,,,,,1.43,1.43,1.43,1.43,1.43,Czechia
Solomon Islands,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,SLB
Chile,140,140,140,140,140,140,140,140,140,140,CHL
Belgium,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,BEL
Haiti,2.157,2.157,2.157,2.157,2.157,2.157,2.157,2.157,2.157,2.157,HTI
Belize,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,BLZ
Sierra Leone,25,25,25,25,25,25,25,25,25,25,SLE
Georgia,,,,,17.23,17.23,17.23,17.23,17.23,17.23,GEO
Lao People's Democratic Republic,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,LAO
Gambia,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,GMB
Philippines,180,180,180,180,180,180,180,180,180,180,PHL
Morocco,10,10,10,10,10,10,10,10,10,10,MAR
Croatia,,,,,11,11,11,11,11,11,HRV
Guinea-Bissau,14,14,14,14,14,14,14,14,14,14,GNB
Thailand,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,THA
Switzerland,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,CHE
Venezuela (Bolivarian Republic of),227,227,227,227,227,227,227,227,227,227,VEN
Iraq,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,IRQ
Portugal,4,4,4,4,4,4,4,4,4,4,PRT
Estonia,,,,,4,4,4,4,4,4,EST
Uruguay,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,URY
Mexico,150,150,150,150,150,150,150,150,150,150,MEX
Lebanon,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,LBN
Uzbekistan,,,,,8.8,8.8,8.8,8.8,8.8,8.8,UZB
Tunisia,1.595,1.595,1.595,1.595,1.595,1.595,1.595,1.595,1.595,1.595,TUN
Djibouti,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,DJI
Spain,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,ESP
Colombia,510,510,510,510,510,510,510,510,510,510,COL
Burundi,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,7.47,BDI
Eswatini,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,SWZ
Fiji,5.273,5.273,5.273,5.273,5.273,5.273,5.273,5.273,5.273,5.273,FJI
Barbados,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,BRB
Madagascar,55,55,55,55,55,55,55,55,55,55,MDG
Italy,43,43,43,43,43,43,43,43,43,43,ITA
Bhutan,9.5,9.5,9.5,9.5,9.5,8.1,8.1,8.1,8.1,8.1,BTN
Sudan,,,,,,,,,3,3,SDN
Nepal,20,20,20,20,20,20,20,20,20,20,NPL
Malta,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MLT
Democratic Republic of the Congo,421,421,421,421,421,421,421,421,421,421,COD
Netherlands,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,NLD
Suriname,90,90,90,90,90,90,90,90,90,90,SUR
United Kingdom,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,GBR
Israel,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,ISR
Iceland,24,24,24,24,24,24,24,24,24,24,ISL
Zambia,47,47,47,47,47,47,47,47,47,47,ZMB
Senegal,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,SEN
Papua New Guinea,211.6,211.6,211.6,211.6,211.6,211.6,211.6,211.6,211.6,211.6,PNG
Trinidad and Tobago,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,TTO
Zimbabwe,6,6,6,6,6,6,6,6,6,6,ZWE
Germany,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,DEU
Denmark,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,DNK
Kazakhstan,,,,,33.85,33.85,33.85,33.85,33.85,33.85,KAZ
Poland,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,POL
Eritrea,,,,,,0.5,0.5,0.5,0.5,0.5,ERI
Kyrgyzstan,,,,,13.69,13.69,13.69,13.69,13.69,13.69,KGZ
Sri Lanka,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,LKA
Latvia,,,,,4.7,4.7,4.7,4.7,4.7,4.7,LVA
South Sudan,,,,,,,,,4,4,SSD
Guyana,103,103,103,103,103,103,103,103,103,103,GUY
Côte d'Ivoire,37.84,37.84,37.84,37.84,37.84,37.84,37.84,37.84,37.84,37.84,CIV
Honduras,39,39,39,39,39,39,39,39,39,39,HND
Myanmar,453.7,453.7,453.7,453.7,453.7,453.7,453.7,453.7,453.7,453.7,MMR
Equatorial Guinea,10,10,10,10,10,10,10,10,10,10,GNQ
Egypt,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,EGY
Nicaragua,59,59,59,59,59,59,59,59,59,59,NIC
Democratic People's Republic of Korea,13,13,13,13,13,13,13,13,13,13,PRK
Botswana,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,BWA
Timor-Leste,0.886,0.886,0.886,0.886,0.886,0.886,0.886,0.886,0.886,0.886,TLS
Congo,122,122,122,122,122,122,122,122,122,122,COG
Greece,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,GRC
