country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,2892,2892,2892,2892,2892,2892,2892,2892,2892,2892,CAN
Turkmenistan,,,,,24.36,24.36,24.36,24.36,24.36,24.36,TKM
United States of America,2913,2913,2913,2913,2913,2913,2913,2913,2913,2913,USA
United Republic of Tanzania,92.27,92.27,92.27,92.27,92.27,92.27,92.27,92.27,92.27,92.27,TZA
Lithuania,,,,,24.4,24.4,24.4,24.4,24.4,24.4,LTU
Cambodia,471.5,471.5,471.5,471.5,471.5,471.5,471.5,471.5,471.5,471.5,KHM
Ethiopia,,,,,,120,120,120,120,120,ETH
Palestine,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,PSE
Argentina,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,ARG
Cameroon,278.1,278.1,278.1,278.1,278.1,278.1,278.1,278.1,278.1,278.1,CMR
Burkina Faso,9,9,9,9,9,9,9,9,9,9,BFA
Ghana,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,GHA
Saudi Arabia,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,SAU
Japan,420,420,420,420,420,420,420,420,420,420,JPN
Slovenia,,,,,31.72,31.72,31.72,31.72,31.72,31.72,SVN
Guatemala,119.4,119.4,119.4,119.4,119.4,119.4,119.4,119.4,119.4,119.4,GTM
Bosnia and Herzegovina,,,,,36.34,36.34,36.34,36.34,36.34,36.34,BIH
Kuwait,0,0,0,0,0,0,0,0,0,0,KWT
Russian Federation,,,,,4249,4249,4249,4249,4249,4249,RUS
Jordan,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,JOR
Liberia,232,232,232,232,232,232,232,232,232,232,LBR
Maldives,0,0,0,0,0,0,0,0,0,0,MDV
Jamaica,9.111,9.111,9.111,9.111,9.111,9.111,9.111,9.111,9.111,9.111,JAM
Oman,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,OMN
North Macedonia,,,,,6.4,6.4,6.4,6.4,6.4,6.4,MKD
Cabo Verde,0.181,0.181,0.181,0.181,0.181,0.181,0.181,0.181,0.181,0.181,CPV
Gabon,164,164,164,164,164,164,164,164,164,164,GAB
Yemen,2,2,2,2,2,2,2,2,2,2,YEM
Albania,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,ALB
United Arab Emirates,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,ARE
India,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,IND
Azerbaijan,,,,,32.52,32.52,32.52,32.52,32.52,32.52,AZE
Lesotho,3.022,3.022,3.022,3.022,3.022,3.022,3.022,3.022,3.022,3.022,LSO
Kenya,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,KEN
Tajikistan,,,,,18.91,18.91,18.91,18.91,18.91,18.91,TJK
Turkey,171.8,171.8,171.8,171.8,171.8,171.8,171.8,171.8,171.8,171.8,TUR
Afghanistan,55.68,55.68,55.68,55.68,55.68,55.68,55.68,55.68,55.68,55.68,AFG
Bangladesh,1206,1206,1206,1206,1206,1206,1206,1206,1206,1206,BGD
Mauritania,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,MRT
Iran (Islamic Republic of),105.8,105.8,105.8,105.8,105.8,105.8,105.8,105.8,105.8,105.8,IRN
