country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,2902,2902,2902,2902,2902,2902,2902,2902,2902,2902,CAN
Sao Tome and Principe,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,STP
Turkmenistan,,,,,24.77,24.77,24.77,24.77,24.77,24.77,TKM
United States of America,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,USA
United Republic of Tanzania,96.27,96.27,96.27,96.27,96.27,96.27,96.27,96.27,96.27,96.27,TZA
Lithuania,,,,,24.5,24.5,24.5,24.5,24.5,24.5,LTU
Cambodia,476.1,476.1,476.1,476.1,476.1,476.1,476.1,476.1,476.1,476.1,KHM
Ethiopia,,,,,,122,122,122,122,122,ETH
Palestine,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,PSE
Argentina,876.2,876.2,876.2,876.2,876.2,876.2,876.2,876.2,876.2,876.2,ARG
Cameroon,283.1,283.1,283.1,283.1,283.1,283.1,283.1,283.1,283.1,283.1,CMR
Burkina Faso,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,BFA
Ghana,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,GHA
Saudi Arabia,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,SAU
Japan,430,430,430,430,430,430,430,430,430,430,JPN
Slovenia,,,,,31.87,31.87,31.87,31.87,31.87,31.87,SVN
Guatemala,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,127.9,GTM
Bosnia and Herzegovina,,,,,37.5,37.5,37.5,37.5,37.5,37.5,BIH
Kuwait,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,KWT
Russian Federation,,,,,4525,4525,4525,4525,4525,4525,RUS
Jordan,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,JOR
Dominica,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,DMA
Liberia,232,232,232,232,232,232,232,232,232,232,LBR
Maldives,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,MDV
Jamaica,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,JAM
Oman,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,OMN
North Macedonia,,,,,6.4,6.4,6.4,6.4,6.4,6.4,MKD
Cabo Verde,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,CPV
Gabon,166,166,166,166,166,166,166,166,166,166,GAB
New Zealand,327,327,327,327,327,327,327,327,327,327,NZL
Yemen,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,YEM
Andorra,0.3156,0.3156,0.3156,0.3156,0.3156,0.3156,0.3156,0.3156,0.3156,0.3156,AND
