country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,130980,122231,115890,109221,102241,97047,92653,87886,83149,79238,CAN
Sao Tome and Principe,28115,24934,22085,20298,18350,16629,15045,13366,11919,10671,STP
Turkmenistan,,,,,6351,5688,5373,5086,4702,4302,TKM
United States of America,14385,13742,13108,12506,11921,11277,10675,10210,9795,9459,USA
United Republic of Tanzania,6636,5657,4840,4150,3537,3043,2666,2296,1961,1680,TZA
Lithuania,,,,,6643,6844,7112,7515,8067,8478,LTU
Cambodia,65219,66180,68820,58089,49480,42148,37681,34810,32219,29747,KHM
Ethiopia,,,,,,2001,1731,1506,1320,1162,ETH
Palestine,709.3,598.7,523.1,445.4,366,291.5,247.7,223.1,194.9,170.1,PSE
Argentina,35355,32598,30220,27970,26035,24452,23125,21921,20814,19792,ARG
Cameroon,41178,35876,30909,26468,22814,19986,17600,15390,13429,11769,CMR
Burkina Faso,2318,2110,1886,1658,1452,1266,1098,947.2,814.7,703.4,BFA
Ghana,6187,5515,4892,4169,3634,3192,2821,2476,2184,1949,GHA
Saudi Arabia,375.4,291.5,217.2,165.2,138.1,123,109.6,95.04,82.51,72.86,SAU
Japan,3982,3744,3595,3494,3431,3388,3362,3346,3348,3373,JPN
Slovenia,,,,,15887,16031,16031,15824,15471,15322,SVN
Guatemala,21525,18903,16708,14805,13173,11747,10476,9336,8375,7562,GTM
Bosnia and Herzegovina,,,,,8846,9995,9931,9936,10280,10693,BIH
Kuwait,23.4,17.29,1.418,10.29,10.43,11.66,9.328,7.99,5.889,4.834,KWT
Russian Federation,,,,,30509,30622,31165,31610,31550,31426,RUS
Jordan,498.1,430.6,366,299.6,236.1,193.9,177.2,151.3,117.2,96.58,JOR
Dominica,2788,2724,2661,2764,2818,2827,2865,2819,2776,2706,DMA
Liberia,155288,134884,114173,105888,114681,98388,75743,66040,55476,49028,LBR
Maldives,243.1,207.3,176.5,147.7,127,113.5,101.9,89.26,77.68,68.76,MDV
Jamaica,5592,5199,4841,4548,4389,4182,4015,3899,3809,3744,JAM
Oman,1803,1432,1085,864.2,706,622.2,599.8,525.7,404,302,OMN
North Macedonia,,,,,3218,3200,3123,3099,3086,3072,MKD
