country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,,,,1588,1589,1412,,1251,1112,972,CAN
Sao Tome and Principe,,,,,,53.39,,,,200.2,STP
Turkmenistan,,,,,,5460,5403,5739,,,TKM
United States of America,,,2211,,2172,,1945,1871,1550,1369,USA
United Republic of Tanzania,,,,,,,143.6,,,,TZA
Lithuania,,,,,,1216,803.5,696,,89.62,LTU
Cambodia,,,,,,,,159.7,,,KHM
Ethiopia,,,,,,,78.84,97.05,,100.5,ETH
Palestine,,,,,,,82.57,111.4,,76.24,PSE
Argentina,,1027,,,,797.6,,,897.5,,ARG
Cameroon,,,,37.02,32.23,,60.08,,,,CMR
Burkina Faso,,,,35.63,40.44,,58.22,57.4,,,BFA
Ghana,33.03,,,,,,49.28,,,,GHA
Saudi Arabia,,,,,979.3,,,937.3,717.9,708.9,SAU
Japan,,,737.4,,729.2,703.1,661.8,645.7,634.2,,JPN
Slovenia,,,,,,,452.3,464.2,450.5,447.8,SVN
Guatemala,,,,,,,,242.6,,,GTM
Kuwait,,,,,,313.7,425.9,,,,KWT
Russian Federation,,,,,,521.8,455.9,,,447.3,RUS
Jordan,,207.3,209,197.9,248,,151.9,150.5,106.2,107.6,JOR
Dominica,,,,,,234.6,237.8,234,277.6,,DMA
Liberia,,,,59.33,,,42.7,,,,LBR
Maldives,,,,16.74,,,,,15.28,,MDV
Jamaica,,,,,,358.7,,292.6,,468.5,JAM
Oman,,,,,616.7,,582.7,496.1,,403.8,OMN
North Macedonia,,,,,,777.5,309,266.9,,251.3,MKD
Cabo Verde,,,,,71.62,,48.66,,,,CPV
Seychelles,,,,,163.7,,,151.8,,,SYC
Gabon,,,,68.42,,,92.97,93.42,,,GAB
Monaco,,,,,224.4,192,177.8,156.7,132.3,,MCO
New Zealand,,,376.3,573.8,,,792.3,1159,1164,,NZL
Yemen,,,,,220,,179.7,163.9,,,YEM
Albania,,,,,370.3,,589.3,433.5,,,ALB
United Arab Emirates,,,756.3,,,780.7,828.1,661.5,,,ARE
India,,584.2,600.5,609,551.9,,560.1,,602.5,,IND
Azerbaijan,,,,,2168,1578,1217,1406,1292,1300,AZE
Lesotho,,,,32.79,,,23.03,,,,LSO
Saint Vincent and the Grenadines,,,,,,92.59,,,,77.34,VCT
Kenya,,,,,82.08,,,60.91,73.73,81.13,KEN
Tajikistan,,,,,,2000,1855,1607,,,TJK
Turkey,,,,,566.8,,580,517.1,677.4,728.1,TUR
Afghanistan,,818.8,,2270,,,922.7,,,,AFG
Bangladesh,,,,,,,,,230.3,,BGD
Mauritania,,,449.2,,,,557.3,407.5,,,MRT
Iran (Islamic Republic of),,1293,,,,1324,1319,1295,,,IRN
Viet Nam,,,665,708.7,,,,955.1,,,VNM
Saint Lucia,,,,,,,,256.4,,,LCA
Mongolia,,,,,,183.2,,208.3,195.8,150.3,MNG
France,,,567.8,622.8,682.1,516.3,537.5,506.9,440.9,406.9,FRA
Syrian Arab Republic,,414.3,,,,950.8,957.4,853.7,,,SYR
Rwanda,,,,,,,17.57,,,,RWA
Slovakia,,,,,,243,202.6,127.5,122.8,102.1,SVK
Somalia,,,,115.4,,,344,298.8,,,SOM
Peru,,,,,,,,,452.9,500.5,PER
Norway,,,486.4,,,547.5,527.7,641.1,,,NOR
Malawi,,,,,,90.16,110.3,98.04,,,MWI
Benin,,,,24.26,,,17.82,,,,BEN
Cuba,,,,,,473.1,,436.7,,605.9,CUB
Montenegro,,,,,,,,,256.9,,MNE
Saint Kitts and Nevis,,,,,,,,,296.6,,KNA
Togo,,,,26.19,,,32.18,,,,TGO
China,,,424.2,423.2,406.2,408.1,414,417.9,429,415,CHN
Armenia,,,,,,933.6,571.2,974.4,1020,978.2,ARM
Republic of Korea,,,,,469.1,550.6,607.4,595.2,,,KOR
Dominican Republic,,,,,,,550.8,575.5,704.7,,DOM
Bolivia (Plurinational State of),,,,191.8,,,,,203.9,,BOL
Ukraine,,,,,505.7,,381,325.1,327.5,207.6,UKR
Bahrain,,,,,456.9,,,345,,291,BHR
Finland,709.5,747.8,765.3,808.7,465.2,501.9,446.6,1239,,,FIN
Libya,,418.7,422.4,757.9,1023,112.1,782.6,815.6,940.6,,LBY
Indonesia,,,,,395.9,,520.9,,,843.2,IDN
Central African Republic,,,,7.042,,,16.94,16.96,,,CAF
Mauritius,,390.3,,,522.6,532.9,507.5,510.5,464.5,487,MUS
